000: ADD_DSZ32
151: UJMPCC_DIRECT_NOTTAKEN_CONDNZ
152: UJMPCC_DIRECT_NOTTAKEN_CONDBE
153: UJMPCC_DIRECT_NOTTAKEN_CONDNBE
158: MJMPCC_DSZNOP_CONDZ
159: MJMPCC_DSZNOP_CONDNZ
15a: MJMPCC_DSZNOP_CONDBE
15b: MJMPCC_DSZNOP_CONDNBE
15d: UJMP
15f: UJMPCC_DIRECT_TAKEN_CONDZ
160: SUBR_DSZ64
162: RCXBTCNTMSK_DSZ64
170: SELECTCC_DSZ64_CONDZ
171: SELECTCC_DSZ64_CONDNZ
172: SELECTCC_DSZ64_CONDBE
173: SELECTCC_DSZ64_CONDNBE
174: CMOVCC_DSZ64_CONDZ
175: CMOVCC_DSZ64_CONDNZ
176: CMOVCC_DSZ64_CONDBE
177: CMOVCC_DSZ64_CONDNBE
17e: MOVEMERGEFLGS_DSZ64
189: ADDSUB_DSZ16_CONDD
1a0: SUBR_DSZ16
1a2: RCXBTCNTMSK_DSZ16
1b4: CMOVCC_DSZ16_CONDZ
1b5: CMOVCC_DSZ16_CONDNZ
1b6: CMOVCC_DSZ16_CONDBE
1b7: CMOVCC_DSZ16_CONDNBE
1bf: SAHF
1e0: SUBR_DSZ8
1e2: RCXBTCNTMSK_DSZ8
1f4: CMOVCC_DSZ8_CONDZ
1f5: CMOVCC_DSZ8_CONDNZ
1f6: CMOVCC_DSZ8_CONDBE
1f7: CMOVCC_DSZ8_CONDNBE
1f8: SETCC_CONDZ
1f9: SETCC_CONDNZ
1fa: SETCC_CONDBE
1fb: SETCC_CONDNBE
202: PSELECT_CPL0
214: FETCHFROMEIP0_ASZ32
215: FETCHFROMEIP1_ASZ32
21e: SIGEVENT
225: IMUL32L_DSZ32
228: MSR2CR
22c: MUL_DSZ32
22d: IMUL_DSZ32
230: SELECTCC_DSZ32_CONDS
231: SELECTCC_DSZ32_CONDNS
232: SELECTCC_DSZ32_CONDP
233: SELECTCC_DSZ32_CONDNP
234: CMOVCC_DSZ32_CONDS
235: CMOVCC_DSZ32_CONDNS
236: CMOVCC_DSZ32_CONDP
237: CMOVCC_DSZ32_CONDNP
250: UJMPCC_DIRECT_NOTTAKEN_CONDS
251: UJMPCC_DIRECT_NOTTAKEN_CONDNS
252: UJMPCC_DIRECT_NOTTAKEN_CONDP
253: UJMPCC_DIRECT_NOTTAKEN_CONDNP
254: FETCHFROMEIP0_ASZ64
255: FETCHFROMEIP1_ASZ64
258: MJMPCC_DSZNOP_CONDS
259: MJMPCC_DSZNOP_CONDNS
25a: MJMPCC_DSZNOP_CONDP
25b: MJMPCC_DSZNOP_CONDNP
25d: TEST_DSZ64
264: IMUL64L_DSZ64
269: RDVMCSPLA
270: SELECTCC_DSZ64_CONDS
271: SELECTCC_DSZ64_CONDNS
272: SELECTCC_DSZ64_CONDP
273: SELECTCC_DSZ64_CONDNP
274: CMOVCC_DSZ64_CONDS
275: CMOVCC_DSZ64_CONDNS
276: CMOVCC_DSZ64_CONDP
277: CMOVCC_DSZ64_CONDNP
2b4: CMOVCC_DSZ16_CONDS
2b5: CMOVCC_DSZ16_CONDNS
2b6: CMOVCC_DSZ16_CONDP
2b7: CMOVCC_DSZ16_CONDNP
2f4: CMOVCC_DSZ8_CONDS
2f5: CMOVCC_DSZ8_CONDNS
2f6: CMOVCC_DSZ8_CONDP
2f7: CMOVCC_DSZ8_CONDNP
2f8: SETCC_CONDS
2f9: SETCC_CONDNS
2fa: SETCC_CONDP
2fb: SETCC_CONDNP
32e: RCL_DSZ32
330: SELECTCC_DSZ32_CONDL
331: SELECTCC_DSZ32_CONDNL
332: SELECTCC_DSZ32_CONDLE
333: SELECTCC_DSZ32_CONDNLE
334: CMOVCC_DSZ32_CONDL
335: CMOVCC_DSZ32_CONDNL
336: CMOVCC_DSZ32_CONDLE
337: CMOVCC_DSZ32_CONDNLE
338: CLC
339: CMC
33a: STC
33c: BSWAP_DSZ32
33e: ADC
33f: SBB
350: UJMPCC_DIRECT_NOTTAKEN_CONDL
351: UJMPCC_DIRECT_NOTTAKEN_CONDNL
352: UJMPCC_DIRECT_NOTTAKEN_CONDLE
353: UJMPCC_DIRECT_NOTTAKEN_CONDNLE
358: MJMPCC_DSZNOP_CONDL
359: MJMPCC_DSZNOP_CONDNL
35a: MJMPCC_DSZNOP_CONDLE
35b: MJMPCC_DSZNOP_CONDNLE
370: SELECTCC_DSZ64_CONDL
371: SELECTCC_DSZ64_CONDNL
372: SELECTCC_DSZ64_CONDLE
373: SELECTCC_DSZ64_CONDNLE
374: CMOVCC_DSZ64_CONDL
375: CMOVCC_DSZ64_CONDNL
376: CMOVCC_DSZ64_CONDLE
377: CMOVCC_DSZ64_CONDNLE
37d: GENARITHFLAGS
380: READAFLAGS
3ae: RCL_DSZ16
3b4: CMOVCC_DSZ16_CONDL
3b5: CMOVCC_DSZ16_CONDNL
3b6: CMOVCC_DSZ16_CONDLE
3b7: CMOVCC_DSZ16_CONDNLE
3c0: LAHF
3c8: INC_DSZ8
3ca: DEC_DSZ8
3ee: RCL_DSZ8
3f4: CMOVCC_DSZ8_CONDL
3f5: CMOVCC_DSZ8_CONDNL
3f6: CMOVCC_DSZ8_CONDLE
3f7: CMOVCC_DSZ8_CONDNLE
3f8: SETCC_CONDL
3f9: SETCC_CONDNL
3fa: SETCC_CONDLE
3fb: SETCC_CONDNLE
3fe: ADC
3ff: SBB
440: PSUBSB
441: PSUBSW
442: PMINSW
443: POR
444: PADDSB
445: PADDSW
446: PMAXSW
447: PXOR
448: PSUBB
449: PSUBW
44a: PSUBD
44c: PADDB
44d: PADDW
44e: PADDD
450: PCMPGTB
451: PCMPGTW
452: PCMPGTD
457: PALIGNR
458: PCMPEQW
459: PCMPEQB
45a: PCMPEQD
45b: PADDQ
45f: PSUBQ
460: PSUBUSB
461: PSUBUSW
462: PMINUB
463: PAND
464: PADDUSB
465: PADDUSW
466: PMAXUB
467: PANDN
468: PAVGB
46b: PAVGW
470: MOVLPD
471: MOVHPD
472: MOVDQU
4b4: FMOV
4c3: ORPD
4c7: XORPD
4e3: ANDPD
4e7: ANDNPD
4ef: MOVHLPS
508: PUNPCKLDQ
50a: PSRLQ
50e: PSLLQ
514: CVTPD2PI
518: PUNPCKHDQ
51a: PSRLQ
51d: PACKSSDW
51e: PSLLQ
528: UNPCKHPD
529: UNPCKLPD
556: PMADDWD
557: PSADBW
571: CVTPD2PS
588: PUNPCKLWD
58a: PSRLD
58c: PSRAD
58e: PSLLD
594: CVTTPD2PI
598: PUNPCKHWD
59a: PSRLD
59b: PSHUFD
59c: PSRAD
59d: PACKSSWB
59e: PSLLD
59f: PACKUSWB
5c8: PUNPCKLBW
5ca: PSRLW
5cc: PSRAW
5ce: PSLLW
5d8: PUNPCKHBW
5da: PSRLW
5dc: PSRAW
5de: PSLLW
5f3: CVTDQ2PS
5f5: CVTPI2PD
5f9: MOVUPD
5fa: SHUFPD
608: FADDP
646: FDIV
650: PMULUDQ
652: PMULHUW
654: PMULLW
655: PMULHW
685: FILD
68a: FCOM2
6f1: MULPD
6f5: SQRTPD
6f6: DIVPD
6f8: ADDPD
6fc: SUBPD
6fd: MINPD
6fe: CMPPD
6ff: MAXPD
705: PINTMOVDI2MM_DSZ32
716: FPREADROM_DTYPENOP
720: FCOMIP
722: COMISD
723: UCOMISD
72c: PINTMOVDTMM2I_DSZ32
72d: PINTMOVDMM2I_DSZ32
745: PINTMOVDI2MM_DSZ64
769: PMOVMSKB
76c: PINTMOVDTMM2I_DSZ64
76d: PINTMOVDMM2I_DSZ64
785: PINSRW
7ad: PEXTRW
7b8: RSQRTPS
7ed: FCMOVNE
7f8: MOVMSKPD
81f: LA2LIN_DSZ32
822: MOVETOCREG_AND_DSZ64
86a: BTUJB_DIRECT_NOTTAKEN
86b: BTUJNB_DIRECT_NOTTAKEN
89f: LA2LIN_DSZ64
8a2: MOVETOCREG_SHL_DSZ64
902: MOVETOCREG_OR_DSZ64
928: CMPUJZ_DIRECT_NOTTAKEN
929: CMPUJNZ_DIRECT_NOTTAKEN
962: MOVETOCREG_BTS_DSZ64
9a2: MOVETOCREG_SHR_DSZ64
996: SHLD
997: SHRD
a62: MOVETOCREG_BTR_DSZ64
c00: LDZX_DSZ32_ASZ32_SC1
c03: LEA_DSZ32_ASZ32_SC1
c08: STAD_DSZ32_ASZ32_SC1
c09: STADTICKLE_DSZ32_ASZ32_SC1
c0a: LDTICKLE_DSZ32_ASZ32_SC1
c0e: MOVNTPD
c10: LDZX_DSZ32_ASZ32_SC1
c13: LEA_DSZ32_ASZ32_SC1
c18: STAD_DSZ32_ASZ32_SC1
c19: STADTICKLE_DSZ32_ASZ32_SC1
c1a: LDTICKLE_DSZ32_ASZ32_SC1
c2e: MOVHPD
c30: LDZX_DSZ32_ASZ32_SC1
c33: LEA_DSZ32_ASZ32_SC1
c38: STAD_DSZ32_ASZ32_SC1
c39: STADTICKLE_DSZ32_ASZ32_SC1
c3a: LDTICKLE_DSZ32_ASZ32_SC1
c40: LDZX_DSZ64_ASZ32_SC1
c43: LEA_DSZ64_ASZ32_SC1
c48: STAD_DSZ64_ASZ32_SC1
c49: STADTICKLE_DSZ64_ASZ32_SC1
c4a: LDTICKLE_DSZ64_ASZ32_SC1
c4b: RDSEGFLD
c50: LDZX_DSZ64_ASZ32_SC1
c53: LEA_DSZ64_ASZ32_SC1
c58: STAD_DSZ64_ASZ32_SC1
c59: STADTICKLE_DSZ64_ASZ32_SC1
c5a: LDTICKLE_DSZ64_ASZ32_SC1
c5e: MOVLPD
c6b: WRSEGFLD
c68: STAD_DSZ64_ASZ64_SC1
c70: LDZX_DSZ64_ASZ32_SC1
c73: LEA_DSZ64_ASZ32_SC1
c78: STAD_DSZ64_ASZ64_SC8
c79: STADTICKLE_DSZ64_ASZ32_SC1
c7a: LDTICKLE_DSZ64_ASZ32_SC1
c7b: WRSEGFLD
c80: LDZX_DSZ16_ASZ32_SC1
c83: LEA_DSZ16_ASZ32_SC1
c88: STAD_DSZ16_ASZ32_SC1
c89: STADTICKLE_DSZ16_ASZ32_SC1
c8a: LDTICKLE_DSZ16_ASZ32_SC1
c90: LDZX_DSZ16_ASZ32_SC1
c93: LEA_DSZ16_ASZ32_SC1
c98: STAD_DSZ16_ASZ32_SC1
c99: STADTICKLE_DSZ16_ASZ32_SC1
c9a: LDTICKLE_DSZ16_ASZ32_SC1
cb0: LDZX_DSZ16_ASZ32_SC1
cb3: LEA_DSZ16_ASZ32_SC1
cb8: STAD_DSZ16_ASZ32_SC1
cb9: STADTICKLE_DSZ16_ASZ32_SC1
cba: LDTICKLE_DSZ16_ASZ32_SC1
cbe: MOVNTDQ
cc0: LDZX_DSZ8_ASZ32_SC1
ccf: LEA_DSZ8_ASZ32_SC1
cc8: STAD_DSZ8_ASZ32_SC1
cc9: STADTICKLE_DSZ8_ASZ32_SC1
cca: LDTICKLE_DSZ8_ASZ32_SC1
cd0: LDZX_DSZ8_ASZ32_SC1
cd3: LEA_DSZ8_ASZ32_SC1
cd8: STAD_DSZ8_ASZ32_SC1
cd9: STADTICKLE_DSZ8_ASZ32_SC1
cda: LDTICKLE_DSZ8_ASZ32_SC1
ce0: LDZX_DSZ8_ASZ64_SC1
ce8: STAD_DSZ8_ASZ64_SC1
cf0: LDZX_DSZ8_ASZ32_SC1
cf3: LEA_DSZ8_ASZ32_SC1
cf5: LDHINT_BUFFER_ASZ32_SC1
cf8: STAD_DSZ8_ASZ32_SC1
cf9: STADTICKLE_DSZ8_ASZ32_SC1
cfa: LDTICKLE_DSZ8_ASZ32_SC1
cfe: MASKMOVDQU
d00: LDZX_DSZ32_ASZ32_SC4
d03: LEA_DSZ32_ASZ32_SC4
d08: STAD_DSZ32_ASZ32_SC4
d09: STADTICKLE_DSZ32_ASZ32_SC4
d0a: LDTICKLE_DSZ32_ASZ32_SC4
d0b: PORTIN_DSZ32_ASZ16_SC1
d0f: PORTOUT_DSZ32_ASZ16_SC1
d10: LDZX_DSZ32_ASZ32_SC4
d13: LEA_DSZ32_ASZ32_SC4
d18: STAD_DSZ32_ASZ32_SC4
d19: STADTICKLE_DSZ32_ASZ32_SC4
d1a: LDTICKLE_DSZ32_ASZ32_SC4
d30: LDZX_DSZ32_ASZ32_SC1
d33: LEA_DSZ32_ASZ32_SC1
d38: STAD_DSZ32_ASZ32_SC1
d39: STADTICKLE_DSZ32_ASZ32_SC1
d3a: LDTICKLE_DSZ32_ASZ32_SC1
d40: LDZX_DSZ64_ASZ32_SC4
d43: LEA_DSZ64_ASZ32_SC4
d48: STAD_DSZ64_ASZ32_SC4
d49: STADTICKLE_DSZ64_ASZ32_SC4
d4a: LDTICKLE_DSZ64_ASZ32_SC4
d4b: PORTIN_DSZ64_ASZ16_SC1
d4f: PORTOUT_DSZ64_ASZ16_SC1
d50: LDZX_DSZ64_ASZ32_SC4
d53: LEA_DSZ64_ASZ32_SC4
d58: STAD_DSZ64_ASZ32_SC4
d59: STADTICKLE_DSZ64_ASZ32_SC4
d5a: LDTICKLE_DSZ64_ASZ32_SC4
d70: LDZX_DSZ64_ASZ32_SC1
d73: LEA_DSZ64_ASZ32_SC1
d78: STAD_DSZ64_ASZ32_SC8
d79: STADTICKLE_DSZ64_ASZ32_SC1
d7a: LDTICKLE_DSZ64_ASZ32_SC1
d80: LDZX_DSZ16_ASZ32_SC4
d83: LEA_DSZ16_ASZ32_SC4
d88: STAD_DSZ16_ASZ32_SC4
d89: STADTICKLE_DSZ16_ASZ32_SC4
d8a: LDTICKLE_DSZ16_ASZ32_SC4
d8b: PORTIN_DSZ16_ASZ16_SC1
d8f: PORTOUT_DSZ16_ASZ16_SC1
d90: LDZX_DSZ16_ASZ32_SC4
d93: LEA_DSZ16_ASZ32_SC4
d98: STAD_DSZ16_ASZ32_SC4
d99: STADTICKLE_DSZ16_ASZ32_SC4
d9a: LDTICKLE_DSZ16_ASZ32_SC4
db0: LDZX_DSZ16_ASZ32_SC1
db3: LEA_DSZ16_ASZ32_SC1
db8: STAD_DSZ16_ASZ32_SC1
db9: STADTICKLE_DSZ16_ASZ32_SC1
dba: LDTICKLE_DSZ16_ASZ32_SC1
dc0: LDZX_DSZ8_ASZ32_SC4
dc3: LEA_DSZ8_ASZ32_SC4
dc8: STAD_DSZ8_ASZ32_SC4
dc9: STADTICKLE_DSZ8_ASZ32_SC4
dca: LDTICKLE_DSZ8_ASZ32_SC4
dcb: PORTIN_DSZ8_ASZ16_SC1
dcf: PORTOUT_DSZ8_ASZ16_SC1
dd0: LDZX_DSZ8_ASZ32_SC4
dd3: LEA_DSZ8_ASZ32_SC4
dd8: STAD_DSZ8_ASZ32_SC4
dd9: STADTICKLE_DSZ8_ASZ32_SC4
dda: LDTICKLE_DSZ8_ASZ32_SC4
df0: LDZX_DSZ8_ASZ32_SC1
df3: LEA_DSZ8_ASZ32_SC1
df8: STAD_DSZ8_ASZ32_SC1
df9: STADTICKLE_DSZ8_ASZ32_SC1
dfa: LDTICKLE_DSZ8_ASZ32_SC1
e00: LDPPHYS_DSZ32_ASZ16_SC1
e08: STADPPHYS_DSZ32_ASZ16_SC1
e0a: LDPPHYS_DSZ32_ASZ16_SC1
e0d: STADPPHYSTICKLE_DSZ32_ASZ16_SC1
e20: LDPPHYS_DSZ32_ASZ64_SC1
e25: LDPPHYSTICKLE_DSZ32_ASZ64_SC1
e28: STADPPHYS_DSZ32_ASZ64_SC1
e2a: LDPPHYS_DSZ32_ASZ64_SC1
e2d: STADPPHYSTICKLE_DSZ32_ASZ64_SC1
e2e: SIMDSTADPPHYS_DSZ32_ASZ64_SC1
e30: LDPPHYS_DSZ32_ASZ64_SC8
e38: STADPPHYS_DSZ32_ASZ64_SC8
e3a: LDPPHYS_DSZ32_ASZ64_SC8
e40: LDPPHYS_DSZ64_ASZ16_SC1
e48: STADPPHYS_DSZ64_ASZ16_SC1
e4a: LDPPHYS_DSZ64_ASZ16_SC1
e4d: STADPPHYSTICKLE_DSZ64_ASZ16_SC1
e60: LDPPHYS_DSZ64_ASZ64_SC1
e65: LDPPHYSTICKLE_DSZ64_ASZ64_SC1
e68: STADPPHYS_DSZ64_ASZ64_SC1
e6a: LDPPHYS_DSZ64_ASZ64_SC1
e6d: STADPPHYSTICKLE_DSZ64_ASZ64_SC1
e6e: SIMDSTADPPHYS_DSZ64_ASZ64_SC1
e70: LDPPHYS_DSZ64_ASZ64_SC8
e75: LDSTGBUF_DSZ64_ASZ16_SC1
e78: STADPPHYS_DSZ64_ASZ64_SC8
e7a: LDPPHYS_DSZ64_ASZ64_SC8
e7d: STADSTGBUF_DSZ64_ASZ16_SC1
e80: LDPPHYS_DSZ16_ASZ16_SC1
e88: STADPPHYS_DSZ16_ASZ16_SC1
e8a: LDPPHYS_DSZ16_ASZ16_SC1
e8d: STADPPHYSTICKLE_DSZ16_ASZ16_SC1
ea0: LDPPHYS_DSZ16_ASZ64_SC1
ea5: LDPPHYSTICKLE_DSZ16_ASZ64_SC1
ea8: STADPPHYS_DSZ16_ASZ64_SC1
eaa: LDPPHYS_DSZ16_ASZ64_SC1
ead: STADPPHYSTICKLE_DSZ16_ASZ64_SC1
eae: SIMDLSTADSTGBUF_DSZ64_ASZ32_SC1
eb0: LDPPHYS_DSZ16_ASZ64_SC8
eb8: STADPPHYS_DSZ16_ASZ64_SC8
eba: LDPPHYS_DSZ16_ASZ64_SC8
ec0: LDPPHYS_DSZ8_ASZ16_SC1
ec8: STADPPHYS_DSZ8_ASZ16_SC1
eca: LDPPHYS_DSZ8_ASZ16_SC1
ecb: LDHINT_CACHEALL_ASZ64_SC1
ecd: STADPPHYSTICKLE_DSZ8_ASZ16_SC1
edb: LDHINT_CACHE1_ASZ64_SC1
ee0: LDPPHYS_DSZ8_ASZ64_SC1
ee5: LDPPHYSTICKLE_DSZ8_ASZ64_SC1
ee8: STADPPHYS_DSZ8_ASZ64_SC1
eea: LDPPHYS_DSZ8_ASZ64_SC1
eeb: LDHINT_CACHE2_ASZ64_SC1
eed: STADPPHYSTICKLE_DSZ8_ASZ64_SC1
eee: SIMDHSTADSTGBUF_DSZ64_ASZ32_SC1
ef0: LDPPHYS_DSZ8_ASZ64_SC8
ef8: STADPPHYS_DSZ8_ASZ64_SC8
efa: LDPPHYS_DSZ8_ASZ64_SC8
f00: LDPPHYS_DSZ32_ASZ32_SC4
f08: STADPPHYS_DSZ32_ASZ32_SC4
f0a: LDPPHYS_DSZ32_ASZ32_SC4
f20: LDPPHYS_DSZ32_ASZ32_SC1
f28: STADPPHYS_DSZ32_ASZ32_SC1
f2a: LDPPHYS_DSZ32_ASZ32_SC1
f30: LDPPHYS_DSZ32_ASZ32_SC8
f38: STADPPHYS_DSZ32_ASZ32_SC8
f3a: LDPPHYS_DSZ32_ASZ32_SC8
f40: LDPPHYS_DSZ64_ASZ32_SC4
f48: STADPPHYS_DSZ64_ASZ32_SC4
f4a: LDPPHYS_DSZ64_ASZ32_SC4
f4b: MPOP
f4f: MPUSH
f60: LDPPHYS_DSZ64_ASZ32_SC1
f65: LDPPHYSTICKLE_DSZ64_ASZ32_SC1
f68: STADPPHYS_DSZ64_ASZ32_SC1
f6a: LDPPHYS_DSZ64_ASZ32_SC1
f6f: MCALL_DIRECT
f70: LDPPHYS_DSZ64_ASZ32_SC8
f78: STADPPHYS_DSZ64_ASZ32_SC8
f7a: LDPPHYS_DSZ64_ASZ32_SC8
f7f: UCALLPARAM_INDIRECT
f80: LDPPHYS_DSZ16_ASZ32_SC4
f88: STADPPHYS_DSZ16_ASZ32_SC4
f8a: LDPPHYS_DSZ16_ASZ32_SC4
fa0: LDPPHYS_DSZ16_ASZ32_SC1
fa8: STADPPHYS_DSZ16_ASZ32_SC1
faa: LDPPHYS_DSZ16_ASZ32_SC1
fb0: LDPPHYS_DSZ16_ASZ32_SC8
fb8: STADPPHYS_DSZ16_ASZ32_SC8
fba: LDPPHYS_DSZ16_ASZ32_SC8
fc0: LDPPHYS_DSZ8_ASZ32_SC4
fc8: STADPPHYS_DSZ8_ASZ32_SC4
fca: LDPPHYS_DSZ8_ASZ32_SC4
fe0: LDPPHYS_DSZ8_ASZ32_SC1
fe8: STADPPHYS_DSZ8_ASZ32_SC1
fea: LDPPHYS_DSZ8_ASZ32_SC1
fef: LBSYNC
ff0: LDPPHYS_DSZ8_ASZ32_SC8
ff8: STADPPHYS_DSZ8_ASZ32_SC8
ffa: LDPPHYS_DSZ8_ASZ32_SC8
fff: SFENCE
